Designator,Mid X,Mid Y,Rotation,Layer
BT1,0.0,36.0,180.0,top
C1,6.02,-16.63,225.0,bottom
C10,3.43,-23.86,315.0,bottom
C15,-10.12,25.21,270.0,bottom
C16,-12.15,25.21,270.0,bottom
C17,-14.18,25.21,270.0,bottom
C19,15.4675,22.94,270.0,bottom
C2,6.75,-15.93,225.0,bottom
C20,9.0175,22.92,270.0,bottom
C3,2.040589,-25.219411,315.0,bottom
C4,-3.399411,-24.060589,225.0,bottom
C5,-4.119411,-24.790589,225.0,bottom
C6,-3.04,-12.22,135.0,bottom
C7,-2.320589,-12.920589,135.0,bottom
C8,-27.65,4.6,90.0,bottom
C9,-1.649411,-25.930589,45.0,bottom
D1,25.3425,23.06,180.0,bottom
D10,-2.5301,-39.4394,0.0,bottom
D11,-2.5301,-58.4894,0.0,bottom
D12,16.5199,-1.3395,0.0,bottom
D13,16.5199,-20.3894,0.0,bottom
D14,16.5199,-39.4394,0.0,bottom
D15,16.5199,-58.4894,0.0,bottom
D16,16.5199,-77.5394,0.0,bottom
D17,35.5699,-1.3395,0.0,bottom
D18,27.3843,-28.8726,0.0,bottom
D19,28.2773,-67.2703,0.0,bottom
D2,17.74,23.03,90.0,bottom
D3,-21.6684,-1.3395,0.0,bottom
D4,-21.5801,-20.3894,0.0,bottom
D5,-21.5801,-39.4394,0.0,bottom
D6,-21.5801,-58.4894,0.0,bottom
D7,-6.9949,-84.9808,0.0,bottom
D8,-2.5301,-1.3395,0.0,bottom
D9,-2.5301,-36.7605,0.0,bottom
IC1,0.0,11.0,0.0,bottom
J2,34.8995,25.8226,0.0,top
J3,0.0,33.5,180.0,bottom
J4,25.8861,-18.3058,270.0,bottom
Q1,20.9775,23.03,180.0,bottom
R1,-29.43,4.61,270.0,bottom
R10,6.68,28.74,180.0,bottom
R11,-5.66,24.89,270.0,bottom
R12,-4.67,24.89,90.0,bottom
R13,6.67,29.78,180.0,bottom
R2,-25.72,4.6,270.0,bottom
R5,-10.13,22.49,270.0,bottom
R6,-12.09,22.49,270.0,bottom
R7,-14.21,22.49,270.0,bottom
R8,2.85,26.51,180.0,bottom
SW1,32.8995,9.8226,90.0,top
SW2,-33.83,9.66,90.0,bottom
SW3,-27.71,10.02,270.0,bottom
SW_clear1,-38.1,0.0,0.0,top
SW_divide1,-6.985,-4.445,0.0,top
SW_eight1,-6.985,-23.495,0.0,top
SW_equals1,26.035,-81.28,180.0,top
SW_five1,-6.985,-42.545,0.0,top
SW_four1,-26.035,-42.545,0.0,top
SW_minus1,31.115,-4.445,0.0,top
SW_mutiplicate1,12.065,-4.445,0.0,top
SW_nine1,12.065,-23.495,0.0,top
SW_one1,-26.035,-61.595,0.0,top
SW_plus1,26.035,-43.18,180.0,top
SW_point1,12.065,-80.645,0.0,top
SW_seven1,-26.035,-23.495,0.0,top
SW_six1,12.065,-42.545,0.0,top
SW_three1,12.065,-61.595,0.0,top
SW_two1,-6.985,-61.595,0.0,top
SW_zero1,-21.59,-90.805,180.0,top
U1,0.0,-19.05,135.0,bottom
U2,0.02,24.22,90.0,bottom
U3,-30.525,3.1,0.0,top
U4,0.475,3.1,0.0,top
U5,12.2175,22.88,180.0,bottom
